nama,ulasan
Zainul Kumilah,"Tempatnya luas, bersih dan nyaman buat keluarga 🤗🥰 …"
Nina Rosyida,"Alun-alunnya buka.... Sangat bagus alun-alunnya... Konsepnya modern dan tertata. Ada perosotannya juga, jadi anak-anak cocok untuk diajak ke sini. Parkir bayar 2.000. Ada banyak penjual jajanan di sekitarnya. Juga ada spot foto yang lumayan …"
Faiqotun ni'mah,Kesini niatnya ajak anak2 main...tp sayang sekali taman bermain anaknya panaaaaaaassss....tp lumayan lah buat santai2 yg jualan jg banyak dan harganya jg ramah dikantong...soal rasa enak lah....👍 …
Ruchi Esti Rohmawati,Taman bermain luas. Anak2 bisa bermain. Penjual d tertipkan dan ada bapak2 satpol pp yg standby utk penertipan jika ada pedagang yg masuk. Kl maghrb arena bermain di tutup dan dibuka kembali setelah sholat mghrb.
Jujurly,Sayang banget setiap mau santai selalu didatangi yang jual mainan. Mana harganya 2x dr yang harga ditoko. Padahal udah ada satpol pp didepan tp pedagangnya malah keliling bawa tas. Asli kalau pas ada uang gitu ya oke2 aja kalau anaknya …
Heru Wiyono,"Letak alun2 Jombang sangat strategis di tengah kota Jombang, berdampingan dengan pendopo Kabupaten Jombang, dikelilingi stasiun, pemberhentian bus antar kota, sekolahan, masjid dan perkantoran. Tempatnya sangat nyaman, aman, bersih, rapi dan cocok untuk hiburan keluarga serta bermain anak2. Recomended."
Nadira Eka,"Cocok buat nyangkruk , tmpat luas dan nyaman 🤗
.
. …"
Sekar Ayu,"Kalau siang dingin dan sejuk, apalagi waktu dimasjid agung adeeem bgt,,,"
Ari Listiyorini,cukup luas untuk taman bermain anak²
Obor Light,"Ok, rekreasi murah"
Febri Widi22,"Tempat nya nyaman dan sejuk cocok untuk piknik malam hari, kalau siang hari panas sekali"
Haris GokJe,"Sudah lumayan lama tidak ke sini ternyata sudah banyak perubahan di alun-alun nya. Bagus banget sekarang, ada tempat bermain anak-anak juga, view nya juga bagus. Mantap"
mohammad bernie,"tempat sudah bagus, pengaturan pedagang dan pengunjung sudah bagus
keluhan minor yaitu toilet harus memutar jauh jika sudah masuk di tempat permainan anak2"
Nuril Bashor,"Lumayan bagus tempatnya luas ,bersih , ada tempat bermain buat anak2 sambil jalan2 keluarga ,"
Putu Bawa Givrant Januarta,"Tempat yang cocok untuk berkunjung bersama keluarga dan buah hati karena ada taman bermain disana sayangnya untuk berkunjung kesana sekarang dibatasi, tidak seperti dulu yang 24 jam selalu boleh dikunjungi, itu menurut saya tapi pasti ada alasan tertentu untuk peraturan itu"
Prof Ari Setiawan,Tempat favorit ketika akhir pekan di kota Jombang 😗😍 …
Lex Luthor,"Banyak berubah wajah dan fungsi alun alun
Dulu lapangan sekarang ada playground nya, …"
Kirara Khaira Herman Susilo,"Nyaman dan luas, bisa buat jogging dan ada playgroundnya"
Insyaadah Insyaadah,"Tempat yg sangat luas,bersih dan nyaman.Bisa dibilang mewah.Ayam goreng kremesnya juara.Tom yam nya sueger pol.Kata suami sy tumis kangkung terasinya sangat enak.Menu lain sy blm coba.InsyaAllah kapan2 dicoba …"
Tono Wartono,Asri unik
Ilzam Arifky,Bagus sih
Pur Setio,Hiburan yang pas di kantong 🤭😂😂😂 …
Ady Adryan,"Bersih dan rapi.
Sayangnya masih banyak pengunjung yg kesadarannya masih sangat2 kurang. Jelas2 ada peringatan,dilarang menginjak dan duduk diatas rumput tp masih banyak yg melanggar"
Robi Motho,"Menyediakan jasa documentasi pernikahan..
Photo dan videogarapy..
Rental mobil …"
Madumongso Tombo Kangen (Ningnong78),Lebih kliatan luas dna bersih.krn para pedagang kaki lima berkurang ..hanya bbrp aja yg jualan.ada ga enaknya..krn turun dr stasiun pengennya duduk2 sante sambil makan ...trnyata udah sepi pedagang...ada sih .tp cm pangsit😁 …
Fira Masfa,"Siapa yang nggak kenal Alun-Alun Jombang? Tempat yang nyaman banget untuk sekedar merenung, atau bahkan untuk olahraga. Sekarang ada playground juga jadi makin ramah untuk para bocil apalagi keponakan saya anaknya aktif."
Fitriya Hida,"Alun aluj yang jombang yang sudah berganti wajah. Sekarang sudah spot untuk bermain anak-anak. Dan sudah ada jalan yang disediakan untuk yang mau jogging di dalam alun2. Cuma kurangnya, belum ada fasilitas untuk UMKM dan pedagang kecil. …"
Anis Sa'adah,bagus dan kids zone luas
Ratih Novianti,"Makin baguusss..bersih,,ada wahana bermain anak2.. cuma panasnya gak ketulungan🥴 …"
M. Helmi Izzudin,Salah satu tempat yang wajib dikunjungi apabila berlibur ke Jombang
Taufik Andriadi,"area alun alun sudah tertata rapi namun yg dikeluhkan pengunjung adalah tarif parkir yg berbeda antara area parkir satu dgn yg lain, untuk sisi timur, selatan dan utara masih 2000 tapi untuk selebelah barah depan maajigmd agung itu 3000, …"
Marboot Store,"lapangannya luas, sangat cocok untuk tempat sport"
Vara Dina,"Buka puasa...  Nyewa tiker cukup 5k,  makanan pun mumer"
Imam Muhtar (Muhtar),tempatnya bersih & enak buat nongkrong
sudarta Stevani,alun alun nya keren ada tempat bermain anak2. sayang nya ada jam khusus untuk di buka. …
Sigit Y.A,Sesuai namanya alun alun. Ada lapangan luas dan tempat bermain juga ada. Kalau siang panas. Dekat dengan masjid agung
Adi Saputra,"Parkir 3rb (tanpa seragam n karcis), playground anak dikunci jd anak2 kecil manjat buat naik ke atas"
koko trisilo,Cocok buat olahraga pagi...
Shalahuddin Cendekia,"Lapangan luas yang lengkap dan strategis..
Dekat stasiun, Masjid Jamik, Sekolahan dan Pendopo Kabupaten... …"
Bella aulia,"Banyak pilihan makanan, ramai, tmpt pqrkir juga banyak tersedia."
Top Phenomena,"Alun-alun telah mengalami renovasi yg signifikan tiap tahunnya. Dulu awal² kesini taun 2006, dan sekarang udah 2022 aja, aku tinggalkan cerita disini supaya diingat di masa depan. Waktu cepat sekali berlalu, banyak kenangan yg tertinggal. Hidup harus tetap dinamis dan optimis. Eh malah curhat"
Bunda Dien,Asri... Ramah anak dan disabilitas...
zumrotul afifah,"Alun-alun jombang berada tepat di depan stasiun besar kota jombang. Setiap malam alun"" jombang ramai dengan penjual dan cocok buat nongkrong."
Upep Balagadona,Alhamdulillah bisa diberikan kesempatan shalat dzuhur berjamaan dimasjid yang megah dan insha allah penuh berkah
Agus Sugiyantoro,mantul untuk permainan anak kecil
BANK genyoel,Cocok untuk wisata keluarga yg low budget
Aulia Wahyu,"Lokasi luas, ada playground untuk anak anak bermain dengan aman, banyak stand makanan dan minuman di pinggiran, paket lengkap untuk jadi tujuan wisata keluarga"
nunuck Ewek,"Rame dan luas,tapi gak ada apa apanya sih cuma banyak penjual mainan dan bisa foto foto sama pecinta reptil ular ya...kalau disurabaya kayak ditaman bungkul"
Tialee Junki,"Alun2 skrg ada Playground nya rek,,masuk gratis, tdk boleh membawa makanan n minuman k dlm taman. Jam buka sore kalo g salah pe jam 8mlm"
Alan Alan,Bagus hanya sayang kesadaran pengukung tentang kebersihan sangat minim
Winda Rafikalia,"Meski udah ga ada PKL yg jualan, tapi ga jauh dari lokasi alun2 banyak bederet kulineran. Jadi ga perlu bingung utk cari makan. Ada playground yg baru dibangun jg, kids friendly & free."
mei mardani,"Sangat strategis, berhadapan dengan stasiun Jombang"
Febri Curly,"Bagus tapi kurang Ter tata,
Harusnya di sediakan untuk tempat jualan sendiri
Taman bermain sendiri
Parkiran sendiri"
Andika Ateja,"Area bermain untuk anak sudah lumayan bagus, tapi masih ada perlu pembenahan agar lebih di tambah lagi permainan untuk anak2 di bawah umur 4 tahun, dan semoga dinas terkait bisa merawat sehingga lebih bagus lagi dan lebih asri pepohonannya"
M Muzacky,Tempat pendakian yg bagus
agil wahyu sa,"Sudah banyak perkembangan dari bangunan hingga fasilitas publik lainya , lahan untuk bermain,olahraga  dan juga lahan untuk pedangan kaki lima sudah terkondisikan jauh lebih baik dan terarah"
Queen Indah,"Enak banget duduk2 sambil ngelamun disini, taman bermain nya bagus bersih rumputnya tinggi ... Sayang banyak pengamen"
Rudiarta Rudiarta,"Bagus
Tapi sayang parkir nya mahal
Habis parkir di depan masjid , kasih 5rb gak ada kembalian …"
Gatot Rama,Tempat berkumpulnya warga Jombang untuk melepas penat setelah sibuk bekerja
Miftachul Ala,"Lumayan bersih, model alun-alun sudah kuno & banyak tikusnya"
Lastri Slamet,"Senang,enak buat selfi2"
edi suprapto,Anakq suka banget bagus wahana mainanya...dan paling penting bisa mengirit pengeluaran....karena mainya gratis...terima kasih pemkab jombang atas fasilitas yang telah disediakan untuk kami warga jombang
Hafidz Ardiansyah,"Letaknya yg sangat strategis karena berada tepat di seberang Stasiun Jombang, sehingga para penumpang KA dapat melepas penat sejenak di Alun-alun Jombang. Kekurangannya yaitu parkir yg kurang terorganisir (parkir motor dan mobil tidak jelas lokasinya) dan terdapat beberapa pedagang yg berada di dalam kawasan alun-alun."
Langit Ceria,Bersih dan nyaman sebagai tempat istirahat dan tempat parkir untuk menjemput jamaah haji. Terdapat wahana bermain anak yang aman
Fahri Alfatih,Alun alun Jombang sangat bagus yaa..bersih..ramai sekali pas weekend seperti ini..  Petugas keamanan standby di alun-alun.. diberi pengumuman kalau jam 9 malam harus sudah keluar dari alun-alun.. saya sangat mendukung karena bisa memberikan dampak positif bagi masyarakat..
Fattia Rizky,Playground terbaru sangat bagus. Hanya kurang terpantau. Terkadang anak main gerombolan sampai beberapa melukai temannya. Harap di beri pengawasan di tempat anak2 bermain biar lebih aman lagi.
Zahwa Zivara,ada masjid siap air lgsung minum bisa makan bakso di alun² y
Muhammad Iqbal,"Numpang shalat Zduhur di Mesjid Agung.
Tempatnya bersih dan nyaman.."
Fandi Achmad,Sekarang lebih bagus play ground lebih luas dan lebih enak untuk liburan bersama keluarga
Karya Ibnu,"alun alun dengan desain baru yang menarik bagus dan tentunya tertata, masuk bagi semua kalangan umur dan juga tersedia playground untuk anak-anak bermain. lokasi yang berada dipusat kota jombang dan berdekatan dengan mesjid agung jombang …"
Adi Arianto,Cocok buat liburan
83 Achmad,"GOES TIPIS"" 20KM SAJA"
jonif lintang,"Menyenangkan menenangkan.❤

Untuk kritik, tolong penjual makanan boleh jualan di luar area alun2, …"
nike vera,Kl mau liburan hri mggu sma anak2.. Main ksni aja... Jgn lupa bawa uang saku yg agak banyak... Soalnya pasti bkln khilaf kl ksni... Ada playground jg buat anak2.. Jd gk perlu khawatir...
Ira Sunarfin,"Tempat nya sekarang bagus lebih nyaman  juga,"
Iin Ayu,Nyaman .. ramah anak.
intan prima dyastuti,Playground nya skr bagus dan nyaman banget 🥰😍 …
Eko Wahyuni,Anak2 Suka Karen ada arena bermain
Putri Indra Irawan,"Luas, rame dan menyenangkan.
Sekarang ada playgroundnya jadi makin asik buat wisata gratis, deket stasiun jombang juga tinggal nyebrang"
Seri Nurkholish,"Pertama kali lihat, sekalian mampir shilat zhuhur.."
naila aisyah,"kesini enak waktu pagi buat olahraga,sore soalnya hawanya udah sejuk sama malam kalo siang sih ngga recomended bangett"
Nurrita Darmono,"Sepii...... Padhaal kemarin pas malming hlo..
Yang parkir kendaraan dipinggir jalan keknya makan jalan bgt ya. Dahlah sempit buat parkir mobil pula. …"
Izzatun Nafsi,"Tempat bersih dan luas . Kalo tdk pandemi biasanya banyak org jualan di pinggir2. Karna pandemi jadi tdk ada jajanan (ada tapi sedikit 1-2 an yg jual). Oiya tambahan ini aku update ketika sudah tdk pandemi, alun-alun sudah jadi ada taman …"
Sofyan SH Channel,"Semoga dapat bermanfaat untuk ekonomi kerakyatan, pusat peradaban jombang."
kurnia putri larasaty,"Tempat nyaman akhir pekan sangat ramai, ada wahana bermain yg cukup luas. Menikmati sore sambil bersantai dan menunggu maghrib dr masjid agung.. Sangat menyenangkan .."
Mzuhud 29,"Taman yang cukup luas dan ikon kota jombang, tempatnya bersih dan cocok untuk anak, banyak streat food dan bisa berkeliling taman dengan kendaraan yg di sewakan, dan lokasi ramah pedestrian"
echo ayip,"Cukup bersih, banyaj penjual makanan"
MUHAMMAD FARDHAN,"Alun - alun Jombang ini juga merupakan salah satu icon Kota Jombang,alun - alunnya cukup besar,alun - alunnya kotor banyak sampahnya, taman kanak-kanaknya cukup luas,dan kamar mandi taman kanak-kanak cukup bersih"
Hevi Nurmayani,Suasana nya indah dan nyaman buat warga yang ingin berolah raga jalan kaki bersepeda santai. Arena bermain anak juga luas. Yang paling indah ketika bunga Tabebuya bermekaran di akhir agustus dan september 🥰 …
bandot subroto,Baru pertama masuk rumah dinas...
Meli,"Ada spot tersendiri utk permainan anak kecil, yang cukup aman, disekeliling alun"" juga disediakan berbagai macam jajanan dan minuman."
firdinia zulfa,Setiap malam rame dari jam 6 setelah magrib sampe jam 10 malam ada berbagai macam pedagang kaki 5. Untuk yg mw sholat tidak perlu khawatir karena didekat alun2 sangat dekat dengan masjid..
Paimo Says denim,"Bagus sekali tempat nya .. bersih berseri indah aman dan nyaman untuk bermain anak dan keluarga.. istri ke 2 pun senang berkunjung di sana .  Istri ke 3 sangat bahagia jalan jalan di sana .. saya anak anak .. istri pertama,istri ke dua, dan istri ke tiga pun senang .. kami semua nya senang"
Syahrul Pro27,"Sayang kurang pedestarian buat penunggu mainan anak2...dimana kita tdk boleh menginjak rumput,harusnya dipasang sedikit tempat untuk kita orang tua yg ingin menunggui anak bermain."
Aimmatul Khoiroh,"Tempatnya sudah terorganisir dengan baik, bersih dan rapi. Terdapat petugas juga yg standby menjaga di sekitar area bermain untuk mengingatkan pengunjung agar mengikuti aturan yg berlaku."
Wahyu Kurniawan,Dulu banyak yg jualan di alun2 semua berubah ketika covid menyerang
Wiwin Dwi,"Tempat luas
Dekat stasiun kereta api"
SETIYA SUWANDI,"Suka dg tempat ini.Baru satu kali ke tempat ini. Malam hari, lumayan ramai, banyak penjual makanan. Kesan yang kurang baik, banyak sampah bungkus makanan di tengah2 alun alun. Meskipun barangkali para pedagang akan membersihkan. Namun terkesan pengunjung membuang sampah sembarangan. Atau memang kurang tempat sampah yg tersedia."
Abdur Rokhim,"Rindang, saya sholat Dzuhur di Masjid Agungnya"
Mokhamad Najib,Tertata cukup apik ... apalagi malam hari ....
Lika Usfinaria,"Kereeen tempatnya, Bersih
Hanya saja Penjual Asongan terlalu tinggi menaikkan harga dagangannya khususnya utk mainan anak2 ... bisa sampe 4 kali lipat diatas Toko"
Muhammad Yusril Alim Masyhur,Enak banget buat nyantai sama keluarga
Rama Foto,Alun2 yg jdi icon jombang kyak gini. . Kira2 slah siapa ya?
zaReza,"Apik tenan..mantap sekarang alun alun nya..
Tiap pagi cocok untuk olah raga..meregangkan badan.
Ataupun hanya sekedar cangkruk an"
muhammad nasrudin,hiburan keluarga murah meriah
mbak waaa,"Alun alunnya bersih....nyaman... apalagi kalau malam terlihat sangat cantik
Ada area untuk anak bermain juga
menyenangkan sekali... Alhamdulillah"
Luqman Hakim Ramadhany,"Tempat terbuka hijau yg sangat bagus, ditunjang dengan parkiran yang sangat memadai dan tempat bermain anak yang cukup nyaman. Akses kendaraan umum yang mudah turut menambah nilai lebih dari tempat ini. Beberapa joglo yang baru saja dibuat, menambah kecantikan dari penampilan alun-alun kebanggaan kota Jombang ini."
dian p,"Suka lari disini, rame juga
Suasana pagi,"
paffieshop grosir,"Ke sini pas hujan
Cuma beli putu aja"
Ganong Channel,"Tetap terjaga kebersihannya.
Penjual juga menerapkan protokol kesehatan.
Rumput di lapangan saat saya lihat lumayan panjang di beberapa titik, sekitar 30 …"
Bayu Suhendra,"Makin bagus dan tertib tentunya semenjak dipisahkan dari kulineran. sangat nyaman untuk jalan"" bawa anak dan pasangan karena tersedia playground untuk anak""."
Rezvan KidZ,"Alun alun Jombang terkeren sih menurut saya ,, ada Playground untuk anak yang tutup pukul 10.00 karena emang puanassss bgt saran saja semoga dikasih iyupan diatasnya,, tamannya bagus tertata rapih lokasi yang sangat strategis berseberangan dengan stasiun Jombang dan dekat dengan mesjid"
Yuii ID,Tidak enak...sate nya besar besar. 97rb untuk 6tusuk sate dan segelas teh anget. Sangat mahal menurut saya. Mungkin saya bukan target market dia.
Nikma Basyar,"Tempat transit setelah dari stasiun jombang sebelum lanjut rute selanjutnya, banyak kuliner, tempat bermain, spot foto, pangkalan bejak dan ojol juga banyak, tempatnya bersih juga, sambil cuci mata lihat adik-adik sekolah berkegiatan di lapangan."
Anita Putri,Tempat nyaman bersih
Ghoete M,"Banyak makanan, taman bermain anak anak, ada masjid Agung, parkir didalam luas"
galuh ayu emilla wardhani,"Cukup memadai utk jogging, olah raga, nyaman dan sejuk meski di tengah kota. Seharusnya lapangan rumput nya bisa lebih di rawat dan ditata, dipercantik lg, ditambah fasum2 lain...bisa meniru kota2 lain, jd smakin nyaman utk tempat refreshing keluarga"
M. Fasrul Fais Ilman,Tempat yang bagus dan enak untuk dijadikan tempat nyantai.. suasana stasiun Jombang yang ada di seberang jalan alun alun kita melihat orang-orang yang baru datang dan akan pergi
Mala Dewi,"Tempat parkir luas, dekat dengan stasiun kota Jombang serta Masjid.agung, sebelah utaranya terdapat sentra kuliner beraneka ragam. Oh iya, jika berkunjung di malam hari, anda akan disuguhi pemandangan.indah dari hiasan lampu yang ada di sekitar alun-alun. Hati-hati juga, banyak kendaraan lalu lalang, terutama bagian barat alun-alun."
Yuliani Kusna,"Masih menjadi tempat favorit bagi emak2 khususnya yg punya balita. Krn tempatnya lapang, strategis, banyak pilihan permainan anak dgn harga terjangkau serta banyak pilihan makanan kaki 5 enak yg tidak menguras kantong.  Dan yg paling oke, …"
Only a Human,Harusnya lebih kreatif lg ditambah sarana dan hiburan sbg tempat berkumpul week end
song candra,"Tempatnya super rame. Banyak penjual makanan dll nya juga. Kalau malam minggu (pas kesana malam minggu) itu kek pasar malem ramenya.
Beli bakso di deket gapura, rasa baksonya enak 👌, tp kuah nya agak asin (sayang …"
SAIFUL ACHMAD FAUZI,Tempat asik buat menghabiskan waktu malam dan nongkrong bersama teman
David Santoso,"Tempat yg menyenangkan utk aktifitas olahraga, bermain bersama anak kecil...."
Pri Ambodo Cipto Trisnowati,Toilet sama smoking area kurang terawat.
budi prasojo,"Akun alun Jombang terus berbenah dan menata diri. Menjaga kebersihan, asri dan kenyamanan pengunjung yg ingin relaksasi buang kejenuhan. Sejak digesernya pedagang kaki lima 3 tahun lalu kondisi alun 2 tampak bersyukur h dan rapi. Lbh bnyk …"
retno anggraini,"Masjid depan alun alun jombang, deketnya lagi ada kuliner jombang."
Robby irkham,"Ruang publik yang nyaman, banyak menyediakan jajanan tradisional"
Mancing mercing Mercing,"Tempat nya nyaman , jajan nya di depan masjid agak mahal ya porsi tidak sesuai , d lap jgrto hrg lbh murah porsi lumayan banyak enak juga rasanya"
Bella bella,"jujur bagus tapi saran kali ke alun"" mending malem aja rasa vibes nya kerasa bngtt😍😍 …"
Liya Megawati,Tempatnya nyaman anak2 paling suka di playground nya
everyday is holiday,Kesini ga rugi pokoknya
Senopati_ aji.e,"Asyik rame,mulai dari penjual mkanan,minuman sampai sendal semua berkumpul kalau malam,untuk masjid agung pun nyaman,kamar mandi bersih & luas,kemudian akses ke mana-mana mudah,dekat dg stasiun,penurunan & penaikan penumpang dari surabaya-solo,surabaya-ponorogo,dan wisata kuliner yg banyak sekali,"
RLeadS,"Lumayan, tapi diselokan dan di pinggir banyak sampah. Dan biasanya ada bekas minyak yang mengering baunya menyengat biasanya bekas pedagang kaki lima yg masak, atau bekas buang makanan, jadi sangat terganggu kedepannya semoga lebih baik terutama sampah"
Anton Rohan,Oke lah...lumayan panas..
Rina Wati,Tempat nongkrong yg nyaman
Fia Masfiah,Mayan bisa utk rehat. Stlh mjalankan kewajiban sbg muslim di masjid bisa duduk istirahat sambil isi perut. Teduh. Palingan kalo hujan ya kehujanan. Ndak ada yg beratap utk ngiyup😛 …
Regita Cahyo P,"Strategis sih. Dekat masjid dan tempat"" makan lain. Tapi kalo malem area lapangan emg sengaja dibuat remang"" ya(?) Aku kesana jadi gelap bgt, mau makan pake senter 😔💔 …"
Bayu Rinawati,"Smakin keren alun2 Jombang,jadi tempat favorit anak2.disediakan Playground..semoga Jombang smakin berkembang pesat"
Toyib Kusuma Jaya,"Hanya lewat saja, alun alun nya dekat dengan stasiun"
Andi Aziz,"Semakin bagus & bisa jadi salah satu destinasi wisata buat keluarga, khususnya yang memiliki putra-putri dibawah 12 tahun karena ada taman bermain buat anak-anak. Tempatnya juga bersih👍 …"
Fiko Dwi,Alun alun yg sekarang udah bersih dan bagus..eh tapi masing2 sudut belum semua dikasih tempat duduk..masih di taman2 nya saja
Ghoete M,"Banyak makanan lengkap, hiburan anak anak, ada masjid, parkir luas bisa didalam alun2"
Yuliana Nur hayati,"Layaknya alun2 pada umumnya, pada bagian luar alun2 Jombang dilengkapi dengan area parkir mobil dan motor, pada bagian dalam alun2 terdapat playground atau taman bermain, dan pada hari2 tertentu sering digunakan untuk pertunjukan musik atau pengajian Akbar."
Visky Leonisa,"Alun alun jombang sangatlah bagus, ada taman untuk anak², lebih indah pada malam hari ada lampu² warna warni, siapa yang datang kesana akan  tertarik dengan berbagai jajanan atau disebut dengan jombang kuliner, sangat mantap deh pokoknya."
rien dyah,"Nyaman utk nongkrong ,angin sejuk"
Rizna Maleida,Sekarang jadi lebih bagus.
Kurnia Riyadini,"Suasananya enak, ramai, tempatnya luas, ada playgroundnnya juga. Menurut saya kalau kesini harus sedia uang receh sih, soalnya banyak pengamen dan pengemis"
Farih Verry Dzannur,Berkunjung perdana 01 JANUARI 2025
David Galih,"lokasi yang luas membuat kita bisa nyaman untuk berolahraga, ketika malam hari banyak sekali di temukan pedagang yang mejajakan berbagai macam barang maupun makanan. letaknya pun dekat dengan masjid"
REvi narashita,Tempat asik unt anak² terutama...
Fayik Zaki,"Semakin tertata rapi, dan kalau malam banyak penjual makanan dan minuman. Harga bersahabat dan tdk nenguras kantong. Mau duduk² aja juga boleh. Mainan anak² juga tersedia  👍😊😂 …"
servishp jombang,sekarang lokasinya lebih tertata.... kl pagi asyik buat jogging..... dipinggir banyak yg jualan makanan.... buat yg berlama2 gak perlu khawatir karena ada masjid. jadi gak perlu khawatir ketinggalan waktu ibadah sholat
syamsul hadi,"Mantab banget, nyaman buat ngajak anak2 bermain, namun akan lbh baik lagi klu spd motor tidak diperbolehkan masuk area lapangan, krn banyak anak kecilnya"
Tri Wahyu Apriyanto,"Untuk anda yg punya anak kecil alun2 asik utk bermain.
Pagi sampai siang hari anda bisa ajak buah hati anda untuk bermain dg burung dara/merpati. Tips: untuk beli pakan merpatinya (biji jagung) ada di toko sebelah …"
yeny kinsany,Tempatnya nyaman untuk bermain anak²
Alifian Winata,"Seperti alun - alun pada umumnya . Tempatnya strategis dektat dengan stasiun , masjid . Setiap hari banyak sekali pengunjung yang datang untuk kumpul bersama keluarga , atau kumpul bersama teman . Kadang juga dipakai untuk event"" . Disekitarnya banyak sekali pedagang makanan maupun minuman ."
Bejo Aryanto,"Tempat yang ruame sekali tdk memandang itu hr libur atau pun siang sore dan malam tetep rame asyik buat nongkrong di situ...monggo dan silahkan nyoba mampir di situ, aneka ragam pkl juga ada dan stand by setiap saat makanan jajanan apa saja ada di situ..."
FNZakariya,"Masih dalam proses revitalisasi.. semoga hasilnya memuaskan, dan mohon untuk pihak2 dinas yg berwenang dan masyarakat Jombang setelah selesai revitalisasi nanti fasilitas2 yg ada dijaga dan dirawat dg baik jangan dikotori. Dan masih ada …"
arrachman novianto,"Asri , banyak kuliner"
Festi Ay,Epic moment yg dihiasi dg lighting yg pas
Siti Indah Sari,"Udaranya sejuk, enak untuk bersantai bareng keluarga"
Yadi Akmal,Sangat menyenangkan buat jalan²..
Kuntum Puspita,Semakin maju karena ada arena bermain anak dan bisa nyewa skuter. 15 menit cuma 10k. Semoga kebersihan dan kenyamanan bisa kita jaga bersama
Mari Yanto,Pelayannya baik
nee chan,"Bagus, murmer kulinernya. Hanya aja ga asik di toilet umumnya yg kotor. Trus kan ada rent motor baterai utk anak2, nah itu ganggu banget bagi pejalan kaki anak2 yg seliweran."
naima majid,lumayan buat istirahat sejenak
R. Austin Fascal Iskandar,Tempat yang cocok untuk keluarga berkunjung menikmati malam minggu.
Sri utari,"Bisa untuk bersantai d sore hari, sambil melihat senja nblamjut sholat berjamaah d masjid Akbar dekat situ"
Riana Nurkholis,Seru banyak permaiannya
Midianto SH,Tempatnya nyaman dan menyenangkan buat bermain anak-anak
Bijak A. Sukmawan,"Sisi alun alun sebelah tidur sudah sangat bagus dan rapi, tapi tingkat kebersihan masih kurang, mungkin kesadaran masyarakat juga perlu di perhatikan lagi untuk menjaga fasilitas yang sudah dibangun oleh pemerintah. Permainan anak anak …"
Selalu Ada Jalan,"Good place untuk bermain bersama keluarga, berasa piknik di atas rerumputan. Bisa juga dipakai untuk bersepeda Dan jogging. Seperti ciri khas di Jawa di depan alun alun Ada masjid Agung. Sayangnya sejak pandemi, pedagang yang biasa Ada di …"
Felix Janitra,Tempatnya kerrn perbaikan oleh dinas terkait okeee banget
Ratna Putri Candra Dewi,"Fasilitas semakin baik,  tempat bersih dan indah. Akan lebih baik lagi jika diberi mini zoo agar anak bisa bermain sambil belajar disana."
Kholifatur Rosidah,"Tempatnya luas, ada permainan anak-anak juga, deket dengan masjid, jadi gak perlu khawatir cari tempat solat yg nyaman"
Santi Setya Jayaningsih,"Bersih banget, Besties! Bagus buat anak-anak kecil cari hiburan daripada main hp terus. Bebas sampah juga ada wahana permainan lumayan banyak."
Mama Aza05,"Letak tempat yang pas di tengah"" kota dan sangat luas.  Pas banget suasana nya"
Tri Chandra Putra,asyik asyik aja..
Hariyono sambal bunda ila,Alun2 dengan sejumlah kenangan indah
kim rokhim,"Mantab pak ekoo..

sarana wisata murah bareng temen atau keluarga, banyak pemandangan rumput, …"
Muhammad Irfan Rosyidi,"Enak tempatnya nyaman, banyak orang jualan juga di sekitar alun"
Veni Yoanitasari,Waapiiikkk seh reekkkk... Joosss alun2 Jombang ❤️❤️
Agus Fathoni,"Masjid Al Al Ashr
Pulo Asri Sejahtera blok J no.18 - 20
Jl. Kapten Piere Tendean …"
Amir Suratman candrasuta,"Di waktu Week End, Banyak pengunjung, Bermain sepak bola, Jogging, berkumpul bersma komunitas, senam Pagi. Jalan jalan mengittari Alun Alun. Ada juga pertunjukan Topeng monyet semakin menambah riuh suasana Alun Alun. Burung Dara beserta …"
Cahyo eko Priyono,Tempat yang enak untuk santai
Jihan Official,baik bgt pelayanan nya
S4ndal J3pit,"Tgl 24 april 2023. Tempat bermain tertutup total. Kadi harus kayak maling hanya demi anak bisa main. Pedaganngya kakean guyon. Pesen minum, atau apapun sering salah."
Hadisukis@gmail.com Sukis,Tempatnya nyaman untuk santai bersama anak.
Angling Darma,"Penataan kawasan perlu dikaji ulang. Sangat disayangkan yg seharusnya alun-alun menjadi icon khas Kabupaten Jombang jika tata letak/posisi pedagang tdk ditempatkan pd posisi ideal, penempatan tempat sampah yg terbatas pun menjadi penyebab …"
Fradila Eny,"Ada lapangan u/ berlarian melepaskan lemak"" jahat, ada playground u/ bermain dgn buah hati tercinta, ada taman u/ duduk"" santai menikmati kegalauan, ada merpati putih saksi bisu cinta kita, tak lupa ada toilet u/ membuang kenangan buruk …"
Muhammad Syahroni,"Sudah bagus, dg perubahan yg sekarang, cuma mohon kepada aparat yg berwenang, disitu ada yg mengganggu kenyamanan para pengunjung, yaitu pengemis, pengamen, tukang palak, mohon utk segara ditindak, karena yg saya sebutkan diatas itu berkali kali mengganggu kenyamanan kami, ingat berkali kali....."
Bapake Raffa,"enak nyaman
pengamen ke laut saja"
Adi Afifah,"Kalau siang bs digunakan utk tmpt bersantai dgn anak2, banyak kuliner, jg bs kasih makan burung merpati. Beli jagungnya di warung di sekitar masjid. Utk malam lebih banyak plihan kuliner lagi dan permainan utk anak2."
